Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
25–34,Male,Delhi,₹30k–50k,Working professional,2–3 times/week,Zomato,Breakfast,Chinese,₹200–400,Packaging,Both,Combo,Solo,5,4,20–30 min,No,No,No,,No,Fri,Yes,"Poor packaging, Long wait time"
55+,Female,Delhi,₹50k–75k,Homemaker,2–3 times/week,Swiggy,Lunch,Chinese,₹200–400,"Quantity, Taste",Both,Depends,Family (3–4),1,3,<20 min,Sometimes,Yes,No,,No,Tue,Yes,Long wait time
35–44,Female,Pune,₹15k–30k,Homemaker,Rarely,"Swiggy, Direct, Others",Lunch,Continental,₹400–600,Quantity,Both,A la carte,Solo,5,3,30–45 min,No,No,No,,No,Sat,Yes,Poor packaging
25–34,Female,Delhi,₹30k–50k,Student,2–3 times/week,"Swiggy, Direct, Others",Lunch,Chinese,₹200–400,Quantity,Both,A la carte,Solo,2,3,30–45 min,No,Yes,No,,Maybe,Fri,Yes,"High price, Cold food, Limited choice"
18–24,Female,Delhi,₹30k–50k,Student,Rarely,Zomato,Dinner,Continental,₹200–400,Price,Non-Veg,A la carte,Solo,4,3,30–45 min,No,No,No,,Yes,Tue,No,"Long wait time, High price"
18–24,Female,Chennai,₹50k–75k,Working professional,Once a week,Zomato,"Breakfast, Snacks",Indian,₹200–400,Taste,Both,A la carte,2 people,3,4,30–45 min,Sometimes,No,No,,No,Sun,Yes,Long wait time
18–24,Female,Bangalore,₹75k+,Working professional,Daily,Swiggy,"Snacks, Lunch",Chinese,₹400–600,Taste,Both,Depends,2 people,3,4,20–30 min,Yes,Yes,No,,Yes,Sat,Yes,Poor packaging
45–54,Female,Chennai,<₹15k,Working professional,Rarely,"Zomato, Swiggy, Others",Snacks,"Continental, Chinese, Italian",₹200–400,Price,Veg,A la carte,2 people,5,4,<20 min,No,No,No,,Yes,Fri,Yes,Cold food
25–34,Male,Mumbai,₹30k–50k,Working professional,Once a week,Direct,Lunch,Continental,₹200–400,"Taste, Delivery time",Veg,Depends,Family (3–4),2,4,30–45 min,Yes,Yes,Yes,3.0,Yes,Thu,Yes,Cold food
35–44,Female,Bangalore,<₹15k,Student,2–3 times/week,Others,"Lunch, Breakfast",Chinese,₹200–400,"Delivery time, Taste, Quantity",Non-Veg,Combo,Solo,3,3,20–30 min,Yes,Yes,No,,Maybe,Tue,No,High price
